,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
36,Ram Dalal Holidays,823,4.6,8 Seats available,Volvo A/C Semi Sleeper (2+2),19:30,10h 30m,06:00,Bus Stand near chandan hotel
37,AdCity Land Travels,889,3.6,20 Seats available,Volvo A/C Semi Sleeper (2+2),19:30,10h 30m,06:00,Palampur Bus Stand
38,Laxmi holidays,854,4.5,43 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),19:20,10h 40m,06:00,Palampur Near bus stand
39,Laxmi holidays,1149,4.5,11 Seats available,Volvo A/C Semi Sleeper (2+2),20:50,10h 40m,07:30,Palampur Near bus stand
40,Ram Dalal Holidays,879,4.5,18 Seats available,Volvo A/C Semi Sleeper (2+2),18:50,10h 40m,05:30,Holta
41,Laxmi holidays,854,4.4,29 Seats available,Volvo A/C Semi Sleeper (2+2),18:15,11h 15m,05:30,Palampur Near bus stand
42,Bharmani Travels,1079,4.0,26 Seats available,Volvo A/C Semi Sleeper (2+2),21:10,09h 20m,06:30,Palampur
43,Northern Travels,INR 989,3.4,19 Seats available,Volvo A/C Semi Sleeper (2+2),18:45,10h 30m,05:15,Palampur
44,Bharmani Travels,899,4.0,31 Seats available,Volvo A/C Semi Sleeper (2+2),19:55,10h 05m,06:00,Palampur
45,Northern Travels,INR 795,2.0,28 Seats available,Volvo A/C Semi Sleeper (2+2),19:45,10h 00m,05:45,Palampur
46,Chandigarh Transport Undertaking (CTU) - 165851,INR 695,4.1,24 Seats available,HVAC Seater (2+3),08:20,10h 00m,18:20,Sec 43
47,Zingbus Plus,1299,4.7,30 Seats available,Volvo A/C Semi Sleeper (2+2),23:15,06h 10m,05:25,Tribune Chowk Sector 31B
48,Laxmi holidays,1234,4.7,20 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),22:50,06h 10m,05:00,Opp. ISBT Sector 43 Near HP P...
49,AdGLOBAL HOLIDAYS ADVENTURE TOURS,855,3.5,29 Seats available,A/C Semi Sleeper (2+2),22:25,08h 35m,07:00,Tribune Chowk Sector 31B
50,Laxmi holidays,1234,4.8,34 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),23:30,06h 50m,06:20,Tribune Chowk Sector 31B
51,Laxmi holidays,1234,4.5,24 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),23:45,06h 45m,06:30,Sector 43 Hp Petrol Pump Opp ...
52,City Land Travels,588,4.3,12 Seats available,Volvo A/C Semi Sleeper (2+2),14:30,08h 15m,22:45,Tribune Chowk Sector 31B
53,AdRajdhani Travels,INR 899,2.9,36 Seats available,Bharat Benz A/C Seater (2+2),23:50,07h 00m,06:50,Tribune Chowk
54,Laxmi holidays,1054,4.1,29 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:20,06h 40m,06:00,Sector 42 IndianOil Petrol Pump
55,Deltin Travels,INR 1420,4.0,35 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),23:59,07h 01m,07:00,Chandni Chowk
56,City Land Travels,1238,3.5,4 Seats available,Volvo A/C Semi Sleeper (2+2),22:15,08h 15m,06:30,Chandigarh
57,Reo India Travels,1197,3.6,13 Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),23:59,07h 26m,07:25,Opp. ISBT Sector 43 Near HP P...
58,SHRI BALAJII TRAVELS,INR 2000,3.0,17 Seats available,Volvo A/C Semi Sleeper (2+2),23:55,06h 05m,06:00,Chandigarh Sohana Gurudwara M...
59,GLOBAL HOLIDAYS ADVENTURE TOURS,989,4.7,22 Seats available,A/C Semi Sleeper (2+2),22:35,08h 35m,07:10,Chandigarh
60,Malana Travels,INR 1299,4.5,10 Seats available,Volvo A/C Semi Sleeper (2+2),23:58,05h 32m,05:30,Chandni Chowk
61,Subh Yatri Holidays,1223,3.4,21 Seats available,Volvo A/C Semi Sleeper (2+2),23:45,05h 45m,05:30,Chandni Chowk
62,Abtc Tour and Travels,750,1.9,25 Seats available,Bharat Benz A/C Semi Sleeper (2+2),01:00,06h 00m,07:00,Sohana sahib gurudwara mohali
63,Himgiri Adventure Tour,764,1.6,27 Seats available,Bharat Benz A/C Semi Sleeper (2+2),22:00,09h 15m,07:15,Chandni Chowk
64,City Land Travels,638,1.9,41 Seats available,Volvo A/C Semi Sleeper (2+2),13:40,08h 15m,21:55,Sec 43 Chandigarh
65,Everest Holidays,674,4.4,9 Seats available,Volvo A/C Semi Sleeper (2+2),23:55,07h 05m,07:00,Chandigarh University Sahibza...
66,R S YADAV SMART BUS PRIVATE LIMITED,1093,3.7,13 Seats available,VE A/C Semi Sleeper (2+2),00:08,08h 47m,08:55,Chandni Chowk
67,Metahills holidays,1350,3.5,10 Seats available,Scania A/C Semi Sleeper (2+2),23:51,08h 39m,08:30,Tribune Chowk Near Shiv Mandir
68,HIMALAYAN HOLIDAYS,INR 1399,3.4,17 Seats available,Volvo A/C Semi Sleeper (2+2 ),23:59,07h 01m,07:00,Sector 42 IndianOil Petrol Pump
69,TANISHQ HOLIDAYS TOUR,1259,2.9,21 Seats available,Volvo A/C Semi Sleeper (2+2),23:30,08h 00m,07:30,Chandni Chowk
70,Abtc Tour and Travels,750,2.8,14 Seats available,Bharat Benz A/C Semi Sleeper (2+2),23:45,07h 15m,07:00,Chandigarh
71,ABHI TRAVELS,1139,3.6,45 Seats available,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:58,06h 32m,06:30,SUHANA SAHAB GURUDWARA
72,City Land Travels,1438,3.6,29 Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),14:30,08h 15m,22:45,SUHANA SAHAB GURUDWARA
