,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
450,IntrCity SmartBus,INR 629,4.4,28 Seats available,AC Sleeper (2+1),20:00,05h 40m,01:40,Mapusa
451,Atmaram Travels (Shreyas),INR 599,4.1,20 Seats available,Bharat Benz A/C Sleeper (2+1),20:03,06h 00m,02:03,Mapusa
452,Indumati Travels,INR 600,4.2,19 Seats available,A/C Sleeper (2+1),20:15,05h 45m,02:00,Mapusa
453,Zingbus Plus,782,4.3,27 Seats available,VE A/C Sleeper (2+1),20:25,05h 30m,01:55,Mapusa
454,Laxmi Queen Asta,INR 699,4.8,20 Seats available,A/C Sleeper (2+1),20:30,05h 30m,02:00,Mapusa
455,IntrCity SmartBus,INR 799,4.6,21 Seats available,AC Sleeper (2+1),21:00,05h 30m,02:30,Madgaon
456,Indumati Travels,INR 600,3.3,24 Seats available,A/C Sleeper (2+1),21:00,05h 45m,02:45,Madgaon
457,Atmaram Travels ( Gogte ),INR 600,3.1,21 Seats available,NON A/C Sleeper (2+1),21:15,06h 00m,03:15,Mapusa
458,Atmaram Travels(KVT Narmada Red),INR 600,4.4,31 Seats available,Bharat Benz A/C Sleeper (2+1),21:16,06h 45m,04:01,Mapusa
459,IntrCity SmartBus,INR 700,4.4,30 Seats available,AC Sleeper (2+1),21:30,05h 45m,03:15,Madgaon
460,Zingbus Plus,555,4.5,30 Seats available,Bharat Benz A/C Sleeper (2+1),21:30,05h 15m,02:45,Panjim
461,Prasanna Purple Big Bus,828,3.3,,VE A/C Sleeper (2+1),22:00,06h 00m,04:00,
462,Prasanna Purple Grand,828,4.2,,A/C Sleeper (2+1),22:15,06h 00m,04:15,
463,PSR Travels (Vaibhav),INR 849,4.6,,A/C Sleeper (2+1),22:30,05h 00m,03:30,
464,Atmaram Travels Goa,INR 899,4.1,,A/C Sleeper (2+1),22:31,05h 30m,04:01,
465,Hans Travels (I) Private Limited,INR 600,2.8,,A/C Sleeper (2+1),12:30,06h 20m,18:50,
466,Gujarat Travels,1425,1.5,,AC Sleeper (2+1),12:40,06h 15m,18:55,
467,Maa tours & Travels,INR 1000,1.8,,A/C Seater (2+2),16:00,07h 15m,23:15,
468,Manish Sharma Travels,INR 850,2.7,,A/C Sleeper (2+1),17:30,08h 30m,02:00,
469,Naik Tours And Travels,INR 2000,2.1,,NON A/C Sleeper (2+1),17:40,06h 15m,23:55,
